id,prompt,task_type,difficulty,difficulty_bucket,required_quality,risk_level,expected_output_tokens,latency_sensitivity
pc_0001,Compare RabbitMQ and RabbitMQ with tradeoffs.,reasoning,0.651,medium,0.872,high,933,medium
pc_0002,"Design prompt caching with observability, fallback, and autoscaling.",system_design,0.781,hard,0.97,high,1081,low
pc_0003,"Given these constraints, choose the best approach and justify it: The service receives bursty traffic, retries requests, and sometimes returns stale data.",reasoning,0.683,medium,0.874,high,968,medium
pc_0004,Create a cinematic video prompt for distributed cache.,creative,0.49,medium,0.662,low,601,medium
pc_0005,Analyze pros and cons of URL shortener for a high-scale system.,reasoning,0.533,medium,0.887,high,927,medium
pc_0006,Create an architecture for memory leak optimized for latency and cost.,system_design,0.934,hard,0.97,high,1225,low
pc_0007,Implement LRU cache in JavaScript.,coding,0.481,medium,0.86,medium,573,medium
pc_0008,Explain system reliability in simple terms.,factual,0.412,medium,0.781,medium,407,medium
pc_0009,"Given these constraints, choose the best approach and justify it: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",reasoning,0.588,medium,0.899,high,907,medium
pc_0010,"Extract name, email, phone from this text and return valid JSON: The model endpoint has variable latency and some requests need premium quality.",extraction,0.262,easy,0.81,medium,361,high
pc_0011,"Parse this invoice and return action items, owners, deadlines.",extraction,0.309,easy,0.787,medium,293,high
pc_0012,Write a professional email to a recruiter about release pipeline.,writing,0.196,easy,0.623,low,300,high
pc_0013,"Extract name, email, phone from this text and return valid JSON: The team decided to ship next week but wants rollback guardrails and better monitoring.",extraction,0.274,easy,0.809,medium,326,high
pc_0014,"Parse this invoice and return action items, owners, deadlines.",extraction,0.38,medium,0.807,medium,375,high
pc_0015,Write a short script for a professional video about customer apology.,creative,0.208,easy,0.637,low,406,medium
pc_0016,"Find the error in this derivation: The service receives bursty traffic, retries requests, and sometimes returns stale data.",math,0.579,medium,0.931,high,569,low
pc_0017,Write a persuasive email to a teammate about memory leak.,writing,0.291,easy,0.581,low,448,high
pc_0018,Create an architecture for memory leak optimized for latency and cost.,system_design,0.852,hard,0.967,high,1120,low
pc_0019,"Extract key decisions from this meeting note: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",summarization,0.419,medium,0.688,medium,420,high
pc_0020,Explain real-time chat system in simple terms.,factual,0.435,medium,0.808,medium,422,medium
pc_0021,Explain the failure modes of release pipeline.,reasoning,0.572,medium,0.876,high,991,medium
pc_0022,"Summarize this document into 10 bullet points: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",summarization,0.31,easy,0.688,medium,492,high
pc_0023,"Find the error in this derivation: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",math,0.595,medium,0.946,high,633,low
pc_0024,Draft a professional message about invoice processing.,writing,0.275,easy,0.582,low,427,high
pc_0025,Analyze why this service has memory leak under load.,debugging,0.857,hard,0.935,high,913,low
pc_0026,"Debug this Rust code that fails with deadlock: The service receives bursty traffic, retries requests, and sometimes returns stale data.",debugging,0.809,hard,0.97,high,801,low
pc_0027,"Given these constraints, choose the best approach and justify it: def f(items): return items[len(items)]",reasoning,0.676,medium,0.9,high,1095,low
pc_0028,"Classify this support ticket and extract priority, owner, and due date: def f(items): return items[len(items)]",extraction,0.328,easy,0.781,medium,496,high
pc_0029,Summarize this document into 3 bullet points: def f(items): return items[len(items)],summarization,0.309,easy,0.718,medium,488,high
pc_0030,Draft a professional message about Kafka.,writing,0.148,easy,0.637,low,287,high
pc_0031,"Debug this TypeScript code that fails with deadlock: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",debugging,0.884,hard,0.969,high,902,low
pc_0032,Fix a incorrect retry behavior in this mobile release system.,debugging,0.674,medium,0.941,high,622,low
pc_0033,Create an executive summary of this real-time chat system document.,summarization,0.332,easy,0.742,medium,490,high
pc_0034,Draft a professional message about rate limiting.,writing,0.174,easy,0.614,low,280,high
pc_0035,Design a multi-region real-time chat system with low latency.,system_design,0.979,hard,0.965,high,1227,low
pc_0036,Generate unit tests for this C++ function: The team decided to ship next week but wants rollback guardrails and better monitoring.,coding,0.58,medium,0.808,medium,688,medium
pc_0037,Write a casual email to a recruiter about RabbitMQ.,writing,0.232,easy,0.621,low,269,high
pc_0038,Compare Kubernetes autoscaling and distributed cache with tradeoffs.,reasoning,0.785,hard,0.97,high,1059,low
pc_0039,"Extract key decisions from this meeting note: The service receives bursty traffic, retries requests, and sometimes returns stale data.",summarization,0.406,medium,0.746,medium,402,high
pc_0040,"Generate unit tests for this TypeScript function: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",coding,0.553,medium,0.787,medium,614,medium
pc_0041,"Extract entities from this paragraph: The service receives bursty traffic, retries requests, and sometimes returns stale data.",extraction,0.361,medium,0.796,medium,406,high
pc_0042,Solve this math problem step by step: LLM inference router.,math,0.817,hard,0.937,high,780,low
pc_0043,Implement sliding window in JavaScript.,coding,0.469,medium,0.798,medium,612,medium
pc_0044,"Classify this support ticket and extract priority, owner, and due date: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",extraction,0.267,easy,0.769,medium,334,high
pc_0045,Rewrite this message in a direct tone: def f(items): return items[len(items)],writing,0.175,easy,0.637,low,242,high
pc_0046,"Debug this Java code that fails with segmentation fault: The service receives bursty traffic, retries requests, and sometimes returns stale data.",debugging,0.742,hard,0.919,high,818,low
pc_0047,Extract entities from this paragraph: The team decided to ship next week but wants rollback guardrails and better monitoring.,extraction,0.326,easy,0.753,medium,350,high
pc_0048,Solve this math problem step by step: race condition.,math,0.8,hard,0.97,high,869,low
pc_0049,Analyze pros and cons of system reliability for a high-scale system.,reasoning,0.702,hard,0.944,high,1038,low
pc_0050,Summarize pros and cons of memory leak.,summarization,0.43,medium,0.687,medium,567,high
pc_0051,Solve this math problem step by step: prompt caching.,math,0.765,hard,0.963,high,762,low
pc_0052,Compare binary search and race condition with tradeoffs.,reasoning,0.73,hard,0.879,high,1147,medium
pc_0053,Write a Rust function to invoice processing.,coding,0.508,medium,0.854,medium,573,medium
pc_0054,"Design multi-region failover with observability, fallback, and autoscaling.",system_design,0.914,hard,0.959,high,1145,low
